# Run,V_Traumatic,Time,V,Similarity
1.000000000000000000e+00,5.000000000000000000e+00,1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,6.008759999999999764e+02,1.202345025183427119e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,1.200339999999999918e+03,1.863775963662480661e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,1.800406999999999925e+03,1.863775963662480661e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,2.400836999999999989e+03,1.863775963662480661e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.000548999999999978e+03,1.863775963662480661e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,3.600385000000000218e+03,8.931535971493529402e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,4.200336000000000240e+03,1.149520159792375207e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,4.800197000000000116e+03,1.522041060038126226e-01,8.000000000000000444e-01
1.000000000000000000e+00,5.000000000000000000e+00,5.400286000000000058e+03,6.109858189444308252e-01,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,6.000125000000000000e+03,7.853861655796028352e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,6.600381000000000313e+03,8.931535971493529402e-01,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,7.200177999999999884e+03,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,7.800449999999999818e+03,1.164297161691427940e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,8.400140999999999622e+03,6.109858189444308252e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,9.000209999999999127e+03,5.629620145275364695e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,9.600261000000000422e+03,1.848026411550178771e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.020035900000000038e+04,7.890875287015608475e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.080023600000000079e+04,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.140018399999999929e+04,1.091888216135644463e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.200016599999999926e+04,1.863775963662480661e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.260077599999999984e+04,1.863775963662480661e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,1.320020999999999913e+04,1.004964889815579188e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.380023799999999937e+04,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.440012399999999980e+04,2.864756996457833438e-01,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.500012299999999959e+04,1.091888216135644463e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.560020999999999913e+04,1.522041060038126226e-01,5.999999999999999778e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.620053499999999985e+04,1.164297161691427940e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.680021500000000015e+04,1.979080713721860230e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.740020699999999852e+04,1.137399383942821585e+00,5.999999999999999778e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.800020000000000073e+04,1.979080713721860230e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.860012900000000081e+04,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.920015999999999985e+04,1.864071422593466476e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,1.980024199999999837e+04,1.863775963662480661e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,2.040015599999999904e+04,1.690209113798038620e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.100025200000000041e+04,8.913732659316555562e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.160026399999999921e+04,1.568263324859900498e+00,5.999999999999999778e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.220023400000000038e+04,7.890875287015608475e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.280025600000000122e+04,1.979080713721860230e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.340014800000000105e+04,5.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.400020300000000134e+04,1.164297161691427940e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.460013000000000102e+04,1.864071422593466476e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.520042399999999907e+04,1.864071422593466476e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+00,2.580025999999999840e+04,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.640012900000000081e+04,1.474998243514964447e-01,8.000000000000000444e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.700032400000000052e+04,1.004964889815579188e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.760013699999999881e+04,1.864071422593466476e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.820021299999999974e+04,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.880015599999999904e+04,1.863775963662480661e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,2.940018400000000111e+04,1.979080713721860230e+00,5.999999999999999778e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.000011500000000160e+04,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.060009999999999854e+04,1.522818257860646174e+00,5.999999999999999778e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.120013300000000163e+04,1.522818257860646174e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.180033599999999933e+04,1.296579382257956325e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.240016200000000026e+04,1.863775963662480661e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.300018000000000029e+04,1.863775963662480661e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.360013999999999942e+04,1.954609206461458415e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.420020700000000215e+04,1.954609206461458415e+00,5.999999999999999778e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.480024599999999919e+04,1.944168159729611656e+00,5.999999999999999778e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.540012500000000000e+04,1.944168159729611656e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.600033000000000175e+04,1.149520159792375207e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.660026000000000204e+04,1.393385890153470141e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.720020999999999913e+04,1.355153418285987010e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.780012000000000262e+04,1.979080713721860230e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.840019499999999971e+04,5.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.900013700000000244e+04,5.377006731335649548e-01,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,3.960027999999999884e+04,1.744482258420502419e+00,4.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000000e+00,4.020018400000000111e+04,1.979080713721860230e+00,5.999999999999999778e-01
2.000000000000000000e+00,5.000000000000000000e+00,1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+00,6.006169999999999618e+02,5.021445659230141523e-01,0.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+00,1.201011999999999944e+03,5.021445659230141523e-01,4.000000000000000222e-01
2.000000000000000000e+00,5.000000000000000000e+00,1.800180000000000064e+03,5.021445659230141523e-01,5.999999999999999778e-01
2.000000000000000000e+00,5.000000000000000000e+00,2.400143000000000029e+03,1.573933359189202186e+00,5.999999999999999778e-01
2.000000000000000000e+00,5.000000000000000000e+00,3.000221000000000004e+03,1.573933359189202186e+00,5.999999999999999778e-01
2.000000000000000000e+00,5.000000000000000000e+00,3.600614999999999782e+03,1.573933359189202186e+00,2.000000000000000111e-01
2.000000000000000000e+00,5.000000000000000000e+00,4.200140999999999622e+03,1.573933359189202186e+00,4.000000000000000222e-01
2.000000000000000000e+00,5.000000000000000000e+00,4.800612000000000080e+03,1.456047320152242808e-01,0.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+00,5.400380000000000109e+03,2.770194567077806092e-01,2.000000000000000111e-01
2.000000000000000000e+00,5.000000000000000000e+00,6.000228000000000065e+03,1.677792836676711863e+00,4.000000000000000222e-01
2.000000000000000000e+00,5.000000000000000000e+00,6.600435999999999694e+03,1.573933359189202186e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+00,7.200251000000000204e+03,1.457495990701607624e+00,2.000000000000000111e-01
2.000000000000000000e+00,5.000000000000000000e+00,7.800180000000000291e+03,1.264780114870216909e+00,5.999999999999999778e-01
2.000000000000000000e+00,5.000000000000000000e+00,8.400441999999999098e+03,1.677792836676711863e+00,4.000000000000000222e-01
2.000000000000000000e+00,5.000000000000000000e+00,9.000368000000000393e+03,6.005975520335944395e-01,2.000000000000000111e-01
2.000000000000000000e+00,5.000000000000000000e+00,9.600198000000000320e+03,3.564394032828255288e-01,4.000000000000000222e-01
2.000000000000000000e+00,5.000000000000000000e+00,1.020070000000000073e+04,1.573933359189202186e+00,2.000000000000000111e-01
2.000000000000000000e+00,5.000000000000000000e+00,1.080041400000000067e+04,6.005975520335944395e-01,2.000000000000000111e-01
2.000000000000000000e+00,5.000000000000000000e+00,1.140016500000000087e+04,1.573933359189202186e+00,4.000000000000000222e-01
2.000000000000000000e+00,5.000000000000000000e+00,1.200010100000000057e+04,1.573933359189202186e+00,2.000000000000000111e-01
2.000000000000000000e+00,5.000000000000000000e+00,1.260039999999999964e+04,1.677792836676711863e+00,0.000000000000000000e+00
